age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Xác suất mở (%),Dự đoán
36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,4,-1,0,unknown,83.18,Có mở
52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,80.22,Có mở
35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,82.89,Có mở
43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown,84.04,Có mở
52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,3,-1,0,unknown,82.9,Có mở
53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,1,-1,0,unknown,38.0,Không mở
48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,1,-1,0,unknown,78.45,Có mở
41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,1,-1,0,unknown,82.56,Có mở
39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,-1,0,unknown,86.27,Có mở
59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,2,-1,0,unknown,82.74,Có mở
41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,1,-1,0,unknown,79.04,Có mở
48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,2,-1,0,unknown,54.84,Có mở
40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,1,-1,0,unknown,75.43,Có mở
48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,1,-1,0,unknown,73.35,Có mở
60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,-1,0,unknown,82.07,Có mở
40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown,84.26,Có mở
57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown,75.47,Có mở
51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,1,-1,0,unknown,81.65,Có mở
41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown,84.99,Có mở
41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,4,-1,0,unknown,83.18,Có mở
52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown,73.7,Có mở
59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,1,-1,0,unknown,72.48,Có mở
44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,1,-1,0,unknown,34.94,Không mở
49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,-1,0,unknown,29.96,Không mở
40,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,-1,0,unknown,80.0,Có mở
41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,1,-1,0,unknown,41.25,Không mở
44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,2,-1,0,unknown,80.98,Có mở
60,services,single,primary,no,313,yes,no,unknown,15,may,920,2,-1,0,unknown,81.68,Có mở
29,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,2,-1,0,unknown,86.12,Có mở
41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,2,-1,0,unknown,83.77,Có mở
41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,-1,0,unknown,80.7,Có mở
42,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,6,-1,0,unknown,85.71,Có mở
36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,-1,0,unknown,43.33,Không mở
39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,1,-1,0,unknown,81.37,Có mở
31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,unknown,76.85,Có mở
26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,-1,0,unknown,85.74,Có mở
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown,74.22,Có mở
29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,1,-1,0,unknown,84.86,Có mở
37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,2,-1,0,unknown,58.97,Có mở
33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown,75.45,Có mở
24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,1,-1,0,unknown,88.46,Có mở
50,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340,1,-1,0,unknown,84.35,Có mở
27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,1,-1,0,unknown,86.46,Có mở
54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,3,-1,0,unknown,85.59,Có mở
30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,5,-1,0,unknown,85.7,Có mở
34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,4,-1,0,unknown,85.05,Có mở
37,management,single,secondary,no,792,yes,no,unknown,16,may,1187,4,-1,0,unknown,85.37,Có mở
41,admin.,single,secondary,no,1020,yes,no,unknown,19,may,882,1,-1,0,unknown,82.14,Có mở
47,blue-collar,married,secondary,no,863,yes,no,unknown,19,may,943,2,-1,0,unknown,81.39,Có mở
31,admin.,married,secondary,no,97,yes,no,unknown,19,may,607,1,-1,0,unknown,51.81,Có mở
31,blue-collar,married,secondary,no,754,yes,no,unknown,19,may,1022,4,-1,0,unknown,83.17,Có mở
43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,3,-1,0,unknown,45.32,Không mở
37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,2,-1,0,unknown,84.52,Có mở
30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown,86.35,Có mở
41,technician,married,secondary,no,501,yes,no,unknown,19,may,579,5,-1,0,unknown,44.04,Không mở
36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,446,1,-1,0,unknown,18.09,Không mở
35,blue-collar,divorced,secondary,no,0,yes,no,unknown,20,may,1205,1,-1,0,unknown,84.24,Có mở
29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,2,-1,0,unknown,87.36,Có mở
35,blue-collar,married,primary,no,102,yes,no,unknown,20,may,1334,1,-1,0,unknown,80.14,Có mở
31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,-1,0,unknown,3.54,Không mở
35,services,married,secondary,no,4170,yes,no,unknown,20,may,1777,1,-1,0,unknown,82.99,Có mở
34,technician,single,secondary,no,85,yes,no,unknown,20,may,1182,4,-1,0,unknown,85.93,Có mở
31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,1,-1,0,unknown,85.29,Có mở
44,technician,divorced,secondary,no,982,yes,no,unknown,20,may,650,3,-1,0,unknown,72.96,Có mở
36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,2,-1,0,unknown,83.8,Có mở
35,blue-collar,married,unknown,no,4822,yes,no,unknown,20,may,843,2,-1,0,unknown,79.53,Có mở
41,blue-collar,married,primary,no,1250,yes,no,unknown,20,may,1392,2,-1,0,unknown,81.16,Có mở
31,blue-collar,single,primary,no,216,yes,no,unknown,21,may,565,1,-1,0,unknown,45.44,Không mở
34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,905,1,-1,0,unknown,79.52,Có mở
32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,2,-1,0,unknown,75.07,Có mở
36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,2,-1,0,unknown,84.57,Có mở
30,blue-collar,single,secondary,yes,239,yes,no,unknown,21,may,412,1,-1,0,unknown,14.26,Không mở
37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,1,-1,0,unknown,81.83,Có mở
36,blue-collar,married,primary,no,599,yes,no,unknown,21,may,649,2,-1,0,unknown,69.55,Có mở
31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,2,-1,0,unknown,42.28,Không mở
27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,1,-1,0,unknown,81.36,Có mở
34,retired,married,primary,no,4499,no,no,unknown,21,may,1681,1,-1,0,unknown,82.51,Có mở
30,technician,single,tertiary,no,1289,yes,no,unknown,21,may,1697,2,-1,0,unknown,85.14,Có mở
32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown,82.08,Có mở
37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,1,-1,0,unknown,82.61,Có mở
32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,81.88,Có mở
33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,3,-1,0,unknown,38.09,Không mở
35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,8,-1,0,unknown,83.12,Có mở
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,-1,0,unknown,76.5,Có mở
30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,1,-1,0,unknown,76.78,Có mở
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,-1,0,unknown,82.86,Có mở
45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,3,-1,0,unknown,80.88,Có mở
33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,-1,0,unknown,43.29,Không mở
44,management,divorced,tertiary,no,5773,no,no,unknown,23,may,597,6,-1,0,unknown,56.33,Có mở
40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,1015,3,-1,0,unknown,82.02,Có mở
31,blue-collar,married,secondary,no,2910,yes,no,unknown,23,may,1392,2,-1,0,unknown,83.52,Có mở
30,technician,married,tertiary,no,541,yes,no,unknown,26,may,414,2,-1,0,unknown,14.13,Không mở
44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,11,-1,0,unknown,78.45,Có mở
34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,1,-1,0,unknown,75.48,Có mở
37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,2,-1,0,unknown,74.28,Có mở
28,self-employed,single,tertiary,no,0,yes,no,unknown,26,may,1560,2,-1,0,unknown,88.89,Có mở
32,admin.,single,secondary,no,620,yes,no,unknown,26,may,1234,3,-1,0,unknown,85.11,Có mở
37,blue-collar,divorced,secondary,no,316,yes,no,unknown,26,may,642,2,-1,0,unknown,60.09,Có mở
34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,-1,0,unknown,81.88,Có mở
38,admin.,divorced,secondary,no,198,yes,no,unknown,26,may,431,2,-1,0,unknown,14.78,Không mở
28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,6,-1,0,unknown,82.34,Có mở
31,management,divorced,tertiary,no,1145,yes,no,unknown,26,may,1272,4,-1,0,unknown,86.23,Có mở
59,services,married,secondary,no,-22,yes,no,unknown,26,may,748,3,-1,0,unknown,74.72,Có mở
24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,-1,0,unknown,87.39,Có mở
26,services,single,secondary,no,901,yes,no,unknown,26,may,764,2,-1,0,unknown,80.97,Có mở
59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,-1,0,unknown,84.7,Có mở
30,entrepreneur,single,primary,no,0,yes,yes,unknown,27,may,1051,1,-1,0,unknown,86.04,Có mở
37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,-1,0,unknown,75.72,Có mở
30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,-1,0,unknown,78.2,Có mở
25,blue-collar,married,secondary,no,97,yes,no,unknown,27,may,709,1,-1,0,unknown,81.53,Có mở
44,services,divorced,secondary,no,51,yes,yes,unknown,27,may,3094,2,-1,0,unknown,86.58,Có mở
29,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,-1,0,unknown,85.91,Có mở
26,management,single,tertiary,no,6840,yes,no,unknown,28,may,1560,2,-1,0,unknown,88.25,Có mở
26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown,51.38,Có mở
27,services,single,secondary,no,54,yes,no,unknown,28,may,543,2,-1,0,unknown,51.74,Có mở
25,self-employed,single,secondary,no,1242,yes,no,unknown,28,may,615,2,-1,0,unknown,70.09,Có mở
28,management,married,secondary,no,292,yes,no,unknown,28,may,507,1,-1,0,unknown,45.87,Không mở
23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,-1,0,unknown,90.4,Có mở
34,management,single,tertiary,no,1058,yes,no,unknown,28,may,864,2,-1,0,unknown,80.87,Có mở
28,student,single,secondary,no,949,yes,no,unknown,28,may,1730,1,-1,0,unknown,88.77,Có mở
51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,9,-1,0,unknown,45.0,Không mở
35,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,543,1,-1,0,unknown,38.4,Không mở
35,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,1,-1,0,unknown,47.05,Không mở
56,blue-collar,married,secondary,no,249,yes,no,unknown,29,may,791,2,-1,0,unknown,72.4,Có mở
45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,1,-1,0,unknown,78.15,Có mở
60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,1,-1,0,unknown,83.71,Có mở
56,technician,married,secondary,no,589,yes,no,unknown,29,may,535,2,-1,0,unknown,42.27,Không mở
27,management,single,tertiary,no,12956,yes,no,unknown,29,may,789,3,-1,0,unknown,79.3,Có mở
30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,3,-1,0,unknown,72.79,Có mở
45,blue-collar,divorced,primary,no,594,yes,no,unknown,29,may,833,2,-1,0,unknown,79.19,Có mở
29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,814,2,-1,0,unknown,83.79,Có mở
38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,2,-1,0,unknown,85.19,Có mở
30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,3,-1,0,unknown,81.85,Có mở
44,blue-collar,single,primary,no,1593,yes,no,unknown,29,may,828,3,-1,0,unknown,79.86,Có mở
36,management,single,tertiary,no,7606,yes,no,unknown,30,may,917,1,-1,0,unknown,82.88,Có mở
38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,3,-1,0,unknown,75.01,Có mở
36,blue-collar,single,secondary,no,366,yes,yes,unknown,30,may,1133,2,-1,0,unknown,85.44,Có mở
37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,1,-1,0,unknown,61.77,Có mở
35,management,single,tertiary,no,565,yes,no,unknown,30,may,763,1,-1,0,unknown,76.45,Có mở
38,admin.,divorced,secondary,no,19,yes,no,unknown,30,may,604,2,-1,0,unknown,45.78,Không mở
40,services,married,primary,no,1082,yes,no,unknown,30,may,854,2,-1,0,unknown,78.58,Có mở
42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,2,-1,0,unknown,80.88,Có mở
46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,1,-1,0,unknown,85.53,Có mở
35,technician,divorced,secondary,no,5724,yes,no,unknown,30,may,691,10,-1,0,unknown,78.97,Có mở
34,technician,divorced,secondary,no,1451,yes,no,unknown,30,may,1097,15,-1,0,unknown,84.95,Có mở
32,services,married,secondary,no,-34,yes,no,unknown,30,may,1236,2,-1,0,unknown,83.6,Có mở
50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,3,-1,0,unknown,80.83,Có mở
35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,3,-1,0,unknown,84.6,Có mở
36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,3,-1,0,unknown,81.69,Có mở
53,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980,2,-1,0,unknown,84.66,Có mở
46,management,single,tertiary,no,2904,yes,no,unknown,30,may,984,2,-1,0,unknown,84.18,Có mở
26,management,single,tertiary,no,1004,yes,no,unknown,30,may,228,2,-1,0,unknown,7.41,Không mở
45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown,82.25,Có mở
31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,12,-1,0,unknown,76.5,Có mở
29,management,single,tertiary,no,0,yes,no,unknown,30,may,539,12,-1,0,unknown,53.24,Có mở
53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,5,-1,0,unknown,85.32,Có mở
27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,2,-1,0,unknown,84.67,Có mở
39,management,married,tertiary,no,2763,yes,no,unknown,2,jun,526,2,-1,0,unknown,53.02,Có mở
36,services,married,secondary,no,2984,yes,no,unknown,2,jun,394,1,-1,0,unknown,14.82,Không mở
41,blue-collar,married,primary,no,143,yes,yes,unknown,2,jun,659,2,-1,0,unknown,76.15,Có mở
36,services,married,primary,no,0,yes,no,unknown,2,jun,1036,1,-1,0,unknown,84.37,Có mở
32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,-1,0,unknown,81.48,Có mở
35,services,married,secondary,no,152,yes,no,unknown,2,jun,563,1,-1,0,unknown,52.76,Có mở
36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,1,-1,0,unknown,86.61,Có mở
35,management,married,tertiary,no,867,yes,no,unknown,2,jun,230,3,-1,0,unknown,8.49,Không mở
30,blue-collar,single,secondary,no,953,yes,no,unknown,2,jun,747,2,-1,0,unknown,77.36,Có mở
42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,-1,0,unknown,76.77,Có mở
42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,5,-1,0,unknown,52.89,Có mở
32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,4,-1,0,unknown,77.84,Có mở
29,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707,14,-1,0,unknown,83.7,Có mở
44,management,divorced,tertiary,yes,-411,yes,no,unknown,2,jun,432,4,-1,0,unknown,19.47,Không mở
32,technician,single,secondary,no,1279,yes,no,unknown,3,jun,1173,3,-1,0,unknown,85.62,Có mở
31,unemployed,married,secondary,no,86,yes,yes,unknown,3,jun,963,2,-1,0,unknown,88.12,Có mở
40,self-employed,married,secondary,yes,-754,yes,yes,unknown,3,jun,941,3,-1,0,unknown,88.28,Có mở
43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,7,-1,0,unknown,81.8,Có mở
27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,2,-1,0,unknown,80.87,Có mở
37,services,single,secondary,no,278,yes,no,unknown,3,jun,1045,3,-1,0,unknown,84.51,Có mở
23,services,single,secondary,no,425,yes,no,unknown,3,jun,768,1,-1,0,unknown,79.8,Có mở
25,management,married,primary,no,168,yes,no,unknown,3,jun,801,1,-1,0,unknown,83.26,Có mở
26,blue-collar,single,secondary,yes,-36,yes,no,unknown,3,jun,482,2,-1,0,unknown,44.36,Không mở
47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,2,-1,0,unknown,85.2,Có mở
35,admin.,married,secondary,no,-87,yes,no,unknown,3,jun,1363,7,-1,0,unknown,85.47,Có mở
32,technician,single,tertiary,no,6281,yes,no,unknown,3,jun,1336,4,-1,0,unknown,88.8,Có mở
45,management,divorced,secondary,no,644,yes,no,unknown,4,jun,633,1,-1,0,unknown,62.04,Có mở
30,admin.,divorced,secondary,no,377,yes,no,unknown,4,jun,524,15,-1,0,unknown,49.43,Không mở
29,services,single,secondary,no,-271,yes,no,unknown,4,jun,578,1,-1,0,unknown,61.45,Có mở
38,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984,2,-1,0,unknown,83.84,Có mở
23,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638,1,-1,0,unknown,60.77,Có mở
27,management,single,tertiary,no,99,yes,no,unknown,4,jun,767,2,-1,0,unknown,81.27,Có mở
27,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525,2,-1,0,unknown,57.99,Có mở
29,services,single,secondary,no,32,yes,no,unknown,4,jun,563,1,-1,0,unknown,61.45,Có mở
30,self-employed,married,tertiary,no,543,yes,yes,unknown,4,jun,1449,6,-1,0,unknown,89.48,Có mở
36,blue-collar,married,primary,no,403,yes,no,unknown,4,jun,920,1,-1,0,unknown,79.49,Có mở
35,admin.,divorced,secondary,no,437,yes,no,unknown,4,jun,908,1,-1,0,unknown,83.39,Có mở
36,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,1,-1,0,unknown,13.76,Không mở
59,retired,divorced,primary,no,-88,yes,no,unknown,5,jun,910,2,-1,0,unknown,82.46,Có mở
47,entrepreneur,married,secondary,no,0,no,no,unknown,5,jun,1446,1,-1,0,unknown,81.29,Có mở
58,entrepreneur,married,tertiary,no,853,no,no,unknown,5,jun,1149,2,-1,0,unknown,82.74,Có mở
37,management,single,tertiary,no,240,no,no,unknown,5,jun,1123,1,-1,0,unknown,85.98,Có mở
46,admin.,single,secondary,no,849,yes,no,unknown,5,jun,508,2,-1,0,unknown,45.53,Không mở
43,blue-collar,single,secondary,no,318,yes,no,unknown,5,jun,736,2,-1,0,unknown,77.68,Có mở
27,management,single,tertiary,no,703,yes,no,unknown,5,jun,590,3,-1,0,unknown,56.64,Có mở
38,services,divorced,secondary,no,61,no,no,unknown,5,jun,636,1,-1,0,unknown,61.09,Có mở
53,housemaid,married,primary,no,104,no,yes,unknown,5,jun,701,1,-1,0,unknown,79.33,Có mở
47,blue-collar,married,secondary,no,1996,no,no,unknown,5,jun,761,2,-1,0,unknown,76.78,Có mở
56,housemaid,divorced,primary,yes,1238,no,no,unknown,5,jun,1558,1,-1,0,unknown,85.73,Có mở
41,housemaid,married,secondary,no,879,no,no,unknown,5,jun,1053,2,-1,0,unknown,82.36,Có mở
29,self-employed,married,secondary,no,425,yes,no,unknown,5,jun,562,15,-1,0,unknown,55.73,Có mở
50,technician,married,secondary,no,416,yes,no,unknown,5,jun,494,5,-1,0,unknown,46.09,Không mở
45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,83.43,Có mở
35,blue-collar,married,secondary,no,860,yes,no,unknown,5,jun,884,4,-1,0,unknown,82.96,Có mở
26,technician,single,secondary,no,639,yes,no,unknown,6,jun,709,5,-1,0,unknown,82.53,Có mở
26,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276,2,-1,0,unknown,89.54,Có mở
37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,2,-1,0,unknown,13.15,Không mở
30,admin.,single,secondary,no,223,yes,no,unknown,6,jun,862,11,-1,0,unknown,84.7,Có mở
38,management,single,tertiary,no,619,yes,no,unknown,6,jun,460,4,-1,0,unknown,28.96,Không mở
37,services,divorced,secondary,no,319,yes,no,unknown,6,jun,467,3,-1,0,unknown,23.19,Không mở
53,technician,married,secondary,no,480,no,no,unknown,6,jun,648,2,-1,0,unknown,73.0,Có mở
29,blue-collar,single,primary,no,213,yes,no,unknown,6,jun,2653,3,-1,0,unknown,87.69,Có mở
35,management,single,tertiary,no,68,no,no,unknown,6,jun,1085,1,-1,0,unknown,84.45,Có mở
28,blue-collar,married,secondary,no,2788,yes,no,unknown,6,jun,369,2,-1,0,unknown,12.39,Không mở
